,venue,innings,batting_team,bowling_team,total_runs
688,Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,32
689,"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,36
690,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,33
691,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,47
692,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,27
693,M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31
694,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,48
695,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,24
696,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,60
697,"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,48
698,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,55
699,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,55
700,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,58
701,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Pune Warriors,62
702,M Chinnaswamy Stadium,2,Pune Warriors,Royal Challengers Bangalore,43
703,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,53
704,Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,21
705,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,61
706,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,42
707,"MA Chidambaram Stadium, Chepauk",1,Sunrisers Hyderabad,Chennai Super Kings,40
708,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Sunrisers Hyderabad,58
709,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,45
710,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,45
711,Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,25
712,Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,30
713,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52
714,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,35
715,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,67
716,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,63
717,Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Pune Warriors,37
718,Shaheed Veer Narayan Singh International Stadium,2,Pune Warriors,Delhi Daredevils,43
719,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,55
720,Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
721,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,36
722,Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,55
723,Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,29
724,Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,46
725,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,41
726,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,36
727,Shaheed Veer Narayan Singh International Stadium,1,Kolkata Knight Riders,Delhi Daredevils,37
728,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Kolkata Knight Riders,34
729,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,36
730,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,36
731,Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,30
732,Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,39
733,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,32
734,Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,48
735,"Rajiv Gandhi International Stadium, Uppal",1,Delhi Daredevils,Sunrisers Hyderabad,26
736,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Delhi Daredevils,41
737,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,31
738,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,46
739,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,32
740,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,30
741,Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,57
742,Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,53
743,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,40
744,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,47
745,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,42
746,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,49
747,Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,41
748,Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,38
749,"Rajiv Gandhi International Stadium, Uppal",1,Chennai Super Kings,Sunrisers Hyderabad,50
750,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Chennai Super Kings,49
751,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,37
752,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,38
753,Subrata Roy Sahara Stadium,1,Kolkata Knight Riders,Pune Warriors,50
754,Subrata Roy Sahara Stadium,2,Pune Warriors,Kolkata Knight Riders,34
755,Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,40
756,Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,49
757,Subrata Roy Sahara Stadium,1,Pune Warriors,Mumbai Indians,36
758,Subrata Roy Sahara Stadium,2,Mumbai Indians,Pune Warriors,37
759,"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,37
760,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,41
761,JSCA International Stadium Complex,1,Royal Challengers Bangalore,Kolkata Knight Riders,22
762,JSCA International Stadium Complex,2,Kolkata Knight Riders,Royal Challengers Bangalore,31
763,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,37
764,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,24
765,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,40
766,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,56
767,Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51
768,Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,39
769,JSCA International Stadium Complex,1,Pune Warriors,Kolkata Knight Riders,42
770,JSCA International Stadium Complex,2,Kolkata Knight Riders,Pune Warriors,33
771,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,47
772,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,49
773,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,43
774,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,29
775,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,58
776,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,41
777,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rajasthan Royals,21
778,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Sunrisers Hyderabad,33
779,Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Mumbai Indians,35
780,Himachal Pradesh Cricket Association Stadium,2,Mumbai Indians,Kings XI Punjab,51
781,Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,40
782,Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,47
783,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,76
784,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,56
785,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Sunrisers Hyderabad,32
786,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kolkata Knight Riders,45
787,Feroz Shah Kotla,1,Chennai Super Kings,Mumbai Indians,47
788,Feroz Shah Kotla,2,Mumbai Indians,Chennai Super Kings,56
789,Feroz Shah Kotla,1,Sunrisers Hyderabad,Rajasthan Royals,27
790,Feroz Shah Kotla,2,Rajasthan Royals,Sunrisers Hyderabad,44
791,Eden Gardens,1,Rajasthan Royals,Mumbai Indians,42
792,Eden Gardens,2,Mumbai Indians,Rajasthan Royals,45
793,Eden Gardens,1,Mumbai Indians,Chennai Super Kings,34
794,Eden Gardens,2,Chennai Super Kings,Mumbai Indians,35
795,Sheikh Zayed Stadium,1,Kolkata Knight Riders,Mumbai Indians,31
796,Sheikh Zayed Stadium,2,Mumbai Indians,Kolkata Knight Riders,32
797,Sharjah Cricket Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,30
798,Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,50
799,Sheikh Zayed Stadium,1,Chennai Super Kings,Kings XI Punjab,70
800,Sheikh Zayed Stadium,2,Kings XI Punjab,Chennai Super Kings,63
801,Sheikh Zayed Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,41
802,Sheikh Zayed Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,30
803,Dubai International Cricket Stadium,1,Mumbai Indians,Royal Challengers Bangalore,49
804,Dubai International Cricket Stadium,2,Royal Challengers Bangalore,Mumbai Indians,30
805,Dubai International Cricket Stadium,1,Kolkata Knight Riders,Delhi Daredevils,31
806,Dubai International Cricket Stadium,2,Delhi Daredevils,Kolkata Knight Riders,49
807,Sharjah Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,53
808,Sharjah Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,39
809,Sheikh Zayed Stadium,1,Chennai Super Kings,Delhi Daredevils,34
810,Sheikh Zayed Stadium,2,Delhi Daredevils,Chennai Super Kings,24
811,Sharjah Cricket Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,43
812,Sharjah Cricket Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,45
813,Dubai International Cricket Stadium,1,Chennai Super Kings,Rajasthan Royals,47
814,Dubai International Cricket Stadium,2,Rajasthan Royals,Chennai Super Kings,38
815,Sharjah Cricket Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,42
816,Sharjah Cricket Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,49
817,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,55
818,Dubai International Cricket Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,44
819,Dubai International Cricket Stadium,1,Mumbai Indians,Chennai Super Kings,31
820,Dubai International Cricket Stadium,2,Chennai Super Kings,Mumbai Indians,51
821,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,22
822,Sheikh Zayed Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,36
823,Sheikh Zayed Stadium,1,Kings XI Punjab,Kolkata Knight Riders,51
824,Sheikh Zayed Stadium,2,Kolkata Knight Riders,Kings XI Punjab,24
825,Sharjah Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,37
826,Sharjah Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,31
827,Sharjah Cricket Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,37
828,Sharjah Cricket Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,47
829,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,44
830,Dubai International Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,33
831,Sheikh Zayed Stadium,1,Rajasthan Royals,Kolkata Knight Riders,41
832,Sheikh Zayed Stadium,2,Kolkata Knight Riders,Rajasthan Royals,33
833,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,44
834,Dubai International Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,32
835,JSCA International Stadium Complex,1,Chennai Super Kings,Kolkata Knight Riders,43
836,JSCA International Stadium Complex,2,Kolkata Knight Riders,Chennai Super Kings,39
837,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,36
838,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,49
839,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,46
840,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,38
841,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,43
842,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,36
843,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,50
844,"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,50
845,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,46
846,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,49
847,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,50
848,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,64
849,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,29
850,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,52
851,Barabati Stadium,1,Kings XI Punjab,Chennai Super Kings,38
852,Barabati Stadium,2,Chennai Super Kings,Kings XI Punjab,46
853,"Sardar Patel Stadium, Motera",1,Sunrisers Hyderabad,Rajasthan Royals,50
854,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Sunrisers Hyderabad,37
855,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,59
856,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,34
857,Feroz Shah Kotla,1,Delhi Daredevils,Sunrisers Hyderabad,52
858,Feroz Shah Kotla,2,Sunrisers Hyderabad,Delhi Daredevils,44
859,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,42
860,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,38
861,Barabati Stadium,1,Kings XI Punjab,Kolkata Knight Riders,49
862,Barabati Stadium,2,Kolkata Knight Riders,Kings XI Punjab,55
863,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,31
864,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
865,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,43
866,"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,38
867,JSCA International Stadium Complex,1,Rajasthan Royals,Chennai Super Kings,42
868,JSCA International Stadium Complex,2,Chennai Super Kings,Rajasthan Royals,48
869,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,34
870,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,46
871,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,55
872,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,86
873,Barabati Stadium,1,Mumbai Indians,Kolkata Knight Riders,37
874,Barabati Stadium,2,Kolkata Knight Riders,Mumbai Indians,45
875,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Daredevils,52
876,"Sardar Patel Stadium, Motera",2,Delhi Daredevils,Rajasthan Royals,33
877,JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,39
878,JSCA International Stadium Complex,2,Royal Challengers Bangalore,Chennai Super Kings,17
879,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,41
880,"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,30
881,"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,41
882,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,45
883,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,55
884,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,65
885,"Rajiv Gandhi International Stadium, Uppal",1,Royal Challengers Bangalore,Sunrisers Hyderabad,25
886,"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Royal Challengers Bangalore,51
887,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,35
888,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,52
889,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,42
890,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,62
891,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,45
892,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,36
893,JSCA International Stadium Complex,1,Chennai Super Kings,Sunrisers Hyderabad,60
894,JSCA International Stadium Complex,2,Sunrisers Hyderabad,Chennai Super Kings,60
895,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,65
896,Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,47
897,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,53
898,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,44
899,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,34
900,M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,64
901,Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,49
902,Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,49
903,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,44
904,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,48
905,Wankhede Stadium,1,Rajasthan Royals,Mumbai Indians,35
906,Wankhede Stadium,2,Mumbai Indians,Rajasthan Royals,71
907,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,55
908,Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,46
909,Brabourne Stadium,1,Mumbai Indians,Chennai Super Kings,53
910,Brabourne Stadium,2,Chennai Super Kings,Mumbai Indians,60
911,Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,70
912,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,96
913,M Chinnaswamy Stadium,1,Kings XI Punjab,Kolkata Knight Riders,32
914,M Chinnaswamy Stadium,2,Kolkata Knight Riders,Kings XI Punjab,59
915,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,37
916,Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,38
917,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,57
918,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,40
919,Maharashtra Cricket Association Stadium,1,Rajasthan Royals,Kings XI Punjab,35
920,Maharashtra Cricket Association Stadium,2,Kings XI Punjab,Rajasthan Royals,51
921,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Sunrisers Hyderabad,49
922,"MA Chidambaram Stadium, Chepauk",2,Sunrisers Hyderabad,Chennai Super Kings,46
923,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,53
924,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,41
925,Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,51
926,Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,42
927,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,56
928,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,17
929,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,47
930,M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,65
931,"Sardar Patel Stadium, Motera",1,Mumbai Indians,Rajasthan Royals,31
932,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Mumbai Indians,42
933,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,69
934,Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,38
935,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,41
936,Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,47
937,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,35
938,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36
939,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,31
940,Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,90
941,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,39
942,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,50
943,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Kolkata Knight Riders,48
944,Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Kings XI Punjab,53
945,"Sardar Patel Stadium, Motera",1,Chennai Super Kings,Rajasthan Royals,39
946,"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Chennai Super Kings,47
947,M Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,48
948,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,32
949,Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,34
950,Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,47
951,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kings XI Punjab,43
952,"Sardar Patel Stadium, Motera",2,Kings XI Punjab,Rajasthan Royals,40
953,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,43
954,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,49
955,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,45
956,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,38
957,Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,45
958,Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,48
959,"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Royal Challengers Bangalore,48
960,"Sardar Patel Stadium, Motera",2,Royal Challengers Bangalore,Rajasthan Royals,49
961,Wankhede Stadium,1,Mumbai Indians,Sunrisers Hyderabad,46
962,Wankhede Stadium,2,Sunrisers Hyderabad,Mumbai Indians,52
963,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,53
964,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,39
965,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,36
966,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,50
967,"Punjab Cricket Association Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,56
968,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,31
969,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
970,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,36
971,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,50
972,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,53
973,"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,54
974,Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,23
975,Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,41
976,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,47
977,Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,55
978,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61
979,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,62
980,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Chennai Super Kings,76
981,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Sunrisers Hyderabad,54
982,"Punjab Cricket Association Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,51
983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,45
984,Brabourne Stadium,1,Rajasthan Royals,Delhi Daredevils,43
985,Brabourne Stadium,2,Delhi Daredevils,Rajasthan Royals,55
986,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,37
987,"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,42
988,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,55
989,Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,33
990,Wankhede Stadium,1,Delhi Daredevils,Mumbai Indians,44
991,Wankhede Stadium,2,Mumbai Indians,Delhi Daredevils,41
992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,66
993,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,34
994,Brabourne Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,56
995,Brabourne Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,36
996,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,44
997,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,61
998,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,45
999,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,57
1000,Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,37
1001,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,49
1002,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,39
1003,Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,45
1004,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,36
1005,"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,40
1006,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,56
1007,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,47
1008,Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Daredevils,16
1009,Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Chennai Super Kings,28
1010,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,71
1011,"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,61
1012,Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,43
1013,Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,46
1014,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,61
1015,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,83
